date,symbol,shortable,borrow_fee_bps,available_quantity
2020-01-01,AAA,true,140.0,2000000
2020-01-01,BBB,true,140.0,2000000
2020-01-01,CCC,true,140.0,2000000
2020-01-01,DDD,true,140.0,2000000
2020-01-01,EEE,true,950.0,2000000
2020-01-01,FFF,true,140.0,2000000
2020-01-01,GGG,false,140.0,0
2020-01-01,HHH,false,140.0,0
2020-01-02,AAA,true,140.0,2000000
2020-01-02,BBB,true,140.0,2000000
2020-01-02,CCC,true,140.0,2000000
2020-01-02,DDD,true,140.0,2000000
2020-01-02,EEE,true,950.0,2000000
2020-01-02,FFF,true,140.0,2000000
2020-01-02,GGG,false,140.0,0
2020-01-02,HHH,false,140.0,0
2020-01-03,AAA,true,140.0,2000000
2020-01-03,BBB,true,140.0,2000000
2020-01-03,CCC,true,140.0,2000000
2020-01-03,DDD,true,140.0,2000000
2020-01-03,EEE,true,950.0,2000000
2020-01-03,FFF,true,140.0,2000000
2020-01-03,GGG,false,140.0,0
2020-01-03,HHH,false,140.0,0
2020-01-06,AAA,true,140.0,2000000
2020-01-06,BBB,true,140.0,2000000
2020-01-06,CCC,true,140.0,2000000
2020-01-06,DDD,true,140.0,2000000
2020-01-06,EEE,true,950.0,2000000
2020-01-06,FFF,true,140.0,2000000
2020-01-06,GGG,false,140.0,0
2020-01-06,HHH,false,140.0,0
2020-01-07,AAA,true,140.0,2000000
2020-01-07,BBB,true,140.0,2000000
2020-01-07,CCC,true,140.0,2000000
2020-01-07,DDD,true,140.0,2000000
2020-01-07,EEE,true,950.0,2000000
2020-01-07,FFF,true,140.0,2000000
2020-01-07,GGG,false,140.0,0
2020-01-07,HHH,false,140.0,0
2020-01-08,AAA,true,140.0,2000000
2020-01-08,BBB,true,140.0,2000000
2020-01-08,CCC,true,140.0,2000000
2020-01-08,DDD,true,140.0,2000000
2020-01-08,EEE,true,950.0,2000000
2020-01-08,FFF,true,140.0,2000000
2020-01-08,GGG,false,140.0,0
2020-01-08,HHH,false,140.0,0
2020-01-09,AAA,true,140.0,2000000
2020-01-09,BBB,true,140.0,2000000
2020-01-09,CCC,true,140.0,2000000
2020-01-09,DDD,true,140.0,2000000
2020-01-09,EEE,true,950.0,2000000
2020-01-09,FFF,true,140.0,2000000
2020-01-09,GGG,false,140.0,0
2020-01-09,HHH,false,140.0,0
2020-01-10,AAA,true,140.0,2000000
2020-01-10,BBB,true,140.0,2000000
2020-01-10,CCC,true,140.0,2000000
2020-01-10,DDD,true,140.0,2000000
2020-01-10,EEE,true,950.0,2000000
2020-01-10,FFF,true,140.0,2000000
2020-01-10,GGG,false,140.0,0
2020-01-10,HHH,false,140.0,0
2020-01-13,AAA,true,140.0,2000000
